z,zerr,mean_fiber_ra,mean_fiber_dec
-0.00010068458215683439,2.234874014813423e-06,242.04158,43.22896
-0.00034535110322356385,3.3096477275607973e-06,242.03172,44.227276
0.6342080139414057,5.793348463272049e-05,242.03093,44.209206
-0.0003195914039882633,6.115234708425803e-06,242.0236,44.255085
0.8063661962433453,3.978269695700276e-05,242.02252,44.163765
1.2157483344466904,3.0257552139660383e-05,242.004,44.21621
2.371133142297373e-05,1.1403480737604686e-06,241.97092,44.21663
0.8025305283954842,3.4835849114317e-05,241.96521,44.191833
0.25009068236437815,3.4066742272793756e-05,241.89082,44.21835
0.1122788935213264,2.8280476895455353e-05,242.03592,43.71802
1.478624630973749,6.411750913319895e-05,241.973,43.714382
1.0959057884120336,6.771851630252208e-05,242.02016,43.41219
-5.635423024480228e-05,1.8284032123104509e-06,242.00871,43.517612
0.0885703757954476,2.1686956752435204e-05,241.9984,43.304527
1.1574523886156727,0.00018064344121605002,241.96786,43.279488
0.36569338744442376,2.9863522633671033e-05,241.94568,43.419937
0.2231287549651119,5.592939961450467e-05,241.94087,43.395374
2.8959993429191393e-05,3.86697619942274e-06,241.8446,43.456707
1.0434177459189382,6.437446156127888e-05,241.8418,43.40189
-0.00014273925922009384,2.2774979332309675e-06,241.82831,43.362583
-0.00011388461435601434,3.996248914115097e-06,241.81721,43.43262
-1.821360217627911e-05,3.224309949443668e-06,241.76735,43.41389
0.24061876724840084,9.233571676420262e-06,241.75282,43.44344
0.21888694920404408,6.975790313273093e-05,242.02232,43.617786
0.9720985832997994,2.751690282747089e-05,242.01749,43.62763
0.4942462458114159,6.864462888186775e-05,241.96965,43.621506
1.6012928762715453,0.00010407479974346295,241.91338,43.55592
-0.00020186373615187607,5.29918427182603e-06,241.8836,43.720547
0.3157847439944672,2.92093313673961e-05,241.86774,43.723457
0.2232825057185779,4.576328553237137e-05,241.86835,43.62303
1.269215639642047,9.39620215311497e-05,241.76479,43.681324
0.41323849999922063,5.998188585821061e-05,241.81854,43.576454
0.8843145136811265,1.847646802714391e-05,241.77899,43.525578
0.8169500518523318,6.3087991491812e-05,241.76035,43.558586
-0.0005971961678873594,5.8713690782893465e-06,241.79301,43.484146
0.20998024008380964,8.560777694605965e-05,241.76028,43.46694
0.976338942181014,4.555010691549214e-05,241.7914,43.59268
0.888384037188224,5.166840377893224e-05,241.7367,43.621746
0.1318599096818859,7.5134180127981274e-06,241.74347,43.63615
0.8380223270062865,7.017369971826624e-06,241.67593,43.557037
0.855296809565679,0.000185863832827305,241.67738,43.580288
0.4850824765310848,8.679991380733378e-05,241.59938,43.59539
-0.0005906834401230582,3.909914929472563e-06,241.63596,43.644085
-0.0001332605313377043,4.295198911000791e-06,241.58629,43.59948
0.808463114713399,5.080714880513813e-05,241.99698,43.993843
-0.0003174832901825231,5.3340951469138785e-06,242.02223,43.892204
0.08323787532656049,2.9253915469722422e-06,242.00562,43.911705
0.7968143106539994,0.00011784206905433109,241.94264,43.98872
0.00020317193032071818,0.00011359080394055523,241.90878,43.966614
-0.0003170490563753354,3.104828389787949e-06,241.99393,43.780716
1.1204612262837343,0.00013940861042927225,241.9857,43.797382
2.2727526762346066,0.0003335855531955177,241.92357,43.838234
-6.763937051686263e-06,2.272034180634766e-06,241.92169,43.7997
0.8832061222572241,1.6054032184643506e-05,241.93141,43.76585
0.10966534278542914,3.0497654164764043e-06,241.87106,43.844807
0.8644967137434069,5.870978062153502e-05,241.86655,43.80616
0.8799968306738539,2.4852479841158102e-05,241.845,43.79804
0.7603291049932217,6.908131665223304e-05,241.91994,43.90804
0.9659491952479508,2.6662395707432384e-05,241.90099,43.884884
0.8713402046780931,0.00013036143185839278,241.92183,43.937477
-0.0002940032925260703,1.208275646322754e-05,241.91074,43.930412
-0.00011214253710052937,5.396240222605858e-06,241.87016,43.92672
0.8943339417412027,9.745257310588263e-05,241.7793,43.885975
-7.297309290543844e-05,1.3271302623849864e-05,241.78276,43.940018
0.08418974434180475,9.422177369384847e-06,242.03868,44.030525
0.3026742457920865,9.444200529267606e-05,242.00003,44.011135
-0.00041109106588882617,7.251824901450841e-06,241.9618,44.059017
-9.079022751700371e-05,2.8810859886065055e-06,241.96019,44.033947
1.3986765003394623,6.772543309216427e-05,241.97539,44.106857
1.4149446214641932,7.493239380738048e-05,241.94203,44.067017
-3.4634148648871957e-06,1.5227482644908967e-06,241.91946,44.059414
1.115372670707042,0.00011980565484697448,241.77908,44.087143
-0.00015215920416808475,2.982882519576908e-06,241.75903,44.112812
-9.893729359358388e-05,2.6678189321936747e-06,241.75389,44.118015
0.4449985384378643,1.3181584413601188e-05,241.86656,43.995407
0.377852674637273,1.11785846007269e-05,241.77055,43.975624
0.8025737892031101,6.909324630922754e-05,241.79973,43.993443
-0.00014648223439552274,2.144451026512732e-06,241.80286,44.0353
-3.988803547292548e-05,4.300299418914177e-06,241.77612,44.016163
-0.0004111776845012761,5.4530313131509384e-06,241.72546,43.94424
-5.307211736693542e-05,8.150210298648111e-06,241.68161,44.000187
0.3853968085950901,8.824000982278976e-06,241.74002,44.11306
0.7952311794301548,0.0002094783206291243,241.56596,44.055058
0.8901323822005186,2.259715422732779e-05,241.62073,44.104298
0.8649624548567247,1.8676626993769802e-05,241.70744,43.735516
0.8545927805852179,0.00012357224528390963,241.68086,43.728603
9.712490837016496e-05,4.574864919064083e-06,241.68877,43.74373
1.0303553911109316,6.41091120195031e-05,241.68225,43.740185
0.787704080542979,3.576775377752715e-05,241.62807,43.78586
-8.746476723745567e-05,2.145521879130237e-06,241.7855,43.84504
0.3241818229784873,9.623548365019272e-05,241.7066,43.90765
2.6165148136615572,0.00019555628260836685,241.69496,43.899982
0.5731471469761287,5.562744449028937e-05,241.64754,43.821278
1.1576354981394423,5.257666901894671e-05,241.641,43.865826
0.19541850224337692,5.470204601517954e-06,241.57277,43.878887
-0.00012328109544055277,4.752603048671829e-06,241.62885,43.695816
0.7940715049245322,4.147360822740743e-05,241.61127,43.69664
0.43113362720614357,2.359878075861898e-05,241.62839,43.725967
0.2905786168334732,6.409733366907889e-05,241.59756,43.759293
-0.00025300174438408756,3.2262994633361118e-06,241.41441,43.824966
-0.0001780812651160825,4.225607796547158e-05,241.57121,43.997944
1.2277668105636463,5.473135063458513e-05,241.5128,43.88233
0.9243373175549751,1.5746594115040664e-05,241.5084,43.929913
0.949733003356797,2.3644846918688072e-05,241.45561,44.096706
0.9368448207793229,0.00010433698449883422,241.48761,44.009457
0.31966650308455796,1.2518404553319636e-05,241.39957,43.98167
